iteration,hard,exp1,exp2,exp3,exp4,
81.0,34.74320241691843,75.22658610271904,75.22658610271904,75.22658610271904,75.22658610271904,
82.0,34.78260869565217,75.07246376811594,75.07246376811594,75.07246376811594,75.07246376811594,
83.0,34.6820809248555,75.14450867052022,75.14450867052022,75.14450867052022,75.14450867052022,
84.0,34.582132564841494,75.21613832853026,75.21613832853026,75.21613832853026,75.21613832853026,
85.0,34.77011494252874,75.28735632183908,75.28735632183908,75.28735632183908,75.28735632183908,
86.0,35.14285714285714,75.42857142857142,75.42857142857142,75.42857142857142,75.42857142857142,
87.0,35.0974930362117,75.20891364902506,75.20891364902506,75.20891364902506,75.20891364902506,
88.0,35.199999999999996,75.73333333333333,75.73333333333333,75.73333333333333,75.73333333333333,
89.0,35.18518518518518,75.39682539682539,75.39682539682539,75.39682539682539,75.39682539682539,
90.0,35.092348284960416,75.46174142480211,75.46174142480211,75.46174142480211,75.46174142480211,
91.0,34.895833333333336,75.0,75.0,75.0,75.0,
92.0,35.064935064935064,75.06493506493507,75.06493506493507,75.06493506493507,75.06493506493507,
93.0,34.97409326424871,74.87046632124353,74.87046632124353,74.87046632124353,74.87046632124353,
94.0,35.0383631713555,74.68030690537084,74.68030690537084,74.68030690537084,74.68030690537084,
95.0,35.1145038167939,74.55470737913485,74.55470737913485,74.55470737913485,74.55470737913485,
96.0,35.0253807106599,74.61928934010153,74.61928934010153,74.61928934010153,74.61928934010153,
97.0,35.32338308457711,74.87562189054727,74.87562189054727,74.87562189054727,74.87562189054727,
98.0,35.20782396088019,74.81662591687042,74.81662591687042,74.81662591687042,74.81662591687042,
99.0,35.03649635036496,74.69586374695864,74.69586374695864,74.69586374695864,74.69586374695864,
